id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.001791071891784668,0.00015518255062778587,0.13190627098083496,0.006812283226831233,auto,1,-1,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 1, 'weights': 'uniform'}",0.3333333333333333,0.5555555555555556,0.75,0.625,0.625,0.625,0.75,0.875,0.75,0.625,0.6513888888888889,0.1386734440117288,91,0.3333333333333333,0.55,0.75,0.6333333333333333,0.6333333333333333,0.7857142857142857,0.8333333333333333,0.9,0.75,0.6333333333333333,0.6802380952380952,0.15378464342478407,81,0.35,0.55,0.75,0.625,0.625,0.625,0.75,0.875,0.75,0.625,0.6525000000000001,0.1353005912773481,81,0.325,0.55,0.75,0.6190476190476191,0.6190476190476191,0.5636363636363637,0.7333333333333334,0.873015873015873,0.75,0.6190476190476191,0.6402128427128426,0.1420142482040641,91
1,0.0015623092651367188,0.00025887538943591835,0.12939231395721434,0.006935397387422868,auto,1,-1,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 1, 'weights': 'distance'}",0.3333333333333333,0.5555555555555556,0.75,0.625,0.625,0.625,0.75,0.875,0.75,0.625,0.6513888888888889,0.1386734440117288,91,0.3333333333333333,0.55,0.75,0.6333333333333333,0.6333333333333333,0.7857142857142857,0.8333333333333333,0.9,0.75,0.6333333333333333,0.6802380952380952,0.15378464342478407,81,0.35,0.55,0.75,0.625,0.625,0.625,0.75,0.875,0.75,0.625,0.6525000000000001,0.1353005912773481,81,0.325,0.55,0.75,0.6190476190476191,0.6190476190476191,0.5636363636363637,0.7333333333333334,0.873015873015873,0.75,0.6190476190476191,0.6402128427128426,0.1420142482040641,91
2,0.0015712738037109374,0.00022055603153020565,0.11970338821411133,0.0040909704860316405,auto,1,-1,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'uniform'}",0.5555555555555556,0.5555555555555556,0.75,0.625,0.75,0.625,0.625,0.5,0.75,0.5,0.6236111111111111,0.09367538182731804,151,0.55,0.5833333333333333,0.8333333333333333,0.7857142857142857,0.8333333333333333,0.6333333333333333,0.6333333333333333,0.25,0.8333333333333333,0.5,0.6435714285714285,0.17785905525841228,141,0.55,0.575,0.75,0.625,0.75,0.625,0.625,0.5,0.75,0.5,0.625,0.09287087810503354,131,0.55,0.55,0.7333333333333334,0.5636363636363637,0.7333333333333334,0.6190476190476191,0.6190476190476191,0.3333333333333333,0.7333333333333334,0.4666666666666667,0.5901731601731602,0.1217803317636932,161
3,0.0011345386505126954,0.00012343269479421327,0.12205736637115479,0.0029312350445599325,auto,1,-1,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.3333333333333333,0.5555555555555556,0.75,0.625,0.625,0.625,0.75,0.875,0.75,0.625,0.6513888888888889,0.1386734440117288,91,0.3333333333333333,0.55,0.75,0.6333333333333333,0.6333333333333333,0.7857142857142857,0.8333333333333333,0.9,0.75,0.6333333333333333,0.6802380952380952,0.15378464342478407,81,0.35,0.55,0.75,0.625,0.625,0.625,0.75,0.875,0.75,0.625,0.6525000000000001,0.1353005912773481,81,0.325,0.55,0.75,0.6190476190476191,0.6190476190476191,0.5636363636363637,0.7333333333333334,0.873015873015873,0.75,0.6190476190476191,0.6402128427128426,0.1420142482040641,91
4,0.0010085821151733399,0.0001478736935832867,0.11661760807037354,0.0026304015838657514,auto,1,-1,3,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'uniform'}",0.5555555555555556,0.4444444444444444,0.75,0.625,0.625,0.5,0.625,0.75,0.75,0.625,0.625,0.09996141230803657,131,0.5833333333333333,0.41666666666666663,0.8333333333333333,0.6333333333333333,0.6333333333333333,0.5,0.6333333333333333,0.75,0.75,0.6333333333333333,0.6366666666666665,0.11590225767142473,161,0.575,0.425,0.75,0.625,0.625,0.5,0.625,0.75,0.75,0.625,0.625,0.10246950765959599,131,0.55,0.4155844155844156,0.7333333333333334,0.6190476190476191,0.6190476190476191,0.5,0.6190476190476191,0.75,0.75,0.6190476190476191,0.6175108225108226,0.103765044050777,131
5,0.0009031534194946289,9.940650724166297e-05,0.11325194835662841,0.002001483797694861,auto,1,-1,3,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'distance'}",0.4444444444444444,0.5555555555555556,0.75,0.625,0.625,0.5,0.625,0.75,0.75,0.625,0.625,0.09996141230803657,131,0.4642857142857143,0.5357142857142857,0.8333333333333333,0.6333333333333333,0.6333333333333333,0.5,0.6333333333333333,0.75,0.75,0.6333333333333333,0.6366666666666667,0.11090332044290092,151,0.475,0.525,0.75,0.625,0.625,0.5,0.625,0.75,0.75,0.625,0.625,0.09746794344808964,131,0.4155844155844156,0.5,0.7333333333333334,0.6190476190476191,0.6190476190476191,0.5,0.6190476190476191,0.75,0.75,0.6190476190476191,0.6125108225108225,0.10801524240572678,141
6,0.0009970903396606446,0.00011490239291969909,0.11594557762145996,0.003281065646710319,auto,1,-1,5,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'uniform'}",0.4444444444444444,0.7777777777777778,0.625,0.375,0.75,0.5,0.5,0.75,0.625,0.625,0.5972222222222222,0.13161508600535704,171,0.45,0.775,0.7857142857142857,0.21428571428571427,0.8333333333333333,0.5,0.5,0.75,0.6333333333333333,0.6333333333333333,0.6074999999999999,0.183028542252053,181,0.45,0.775,0.625,0.375,0.75,0.5,0.5,0.75,0.625,0.625,0.5974999999999999,0.13059957886608978,171,0.4444444444444445,0.7750000000000001,0.5636363636363637,0.2727272727272727,0.7333333333333334,0.5,0.4666666666666667,0.75,0.6190476190476191,0.6190476190476191,0.574390331890332,0.15015822024177092,181
7,0.0010528087615966797,0.00029263197257253576,0.11799864768981934,0.002817169775689052,auto,1,-1,5,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'distance'}",0.4444444444444444,0.7777777777777778,0.625,0.375,0.75,0.5,0.5,0.75,0.625,0.625,0.5972222222222222,0.13161508600535704,171,0.45,0.775,0.7857142857142857,0.21428571428571427,0.8333333333333333,0.5,0.5,0.75,0.6333333333333333,0.6333333333333333,0.6074999999999999,0.183028542252053,181,0.45,0.775,0.625,0.375,0.75,0.5,0.5,0.75,0.625,0.625,0.5974999999999999,0.13059957886608978,171,0.4444444444444445,0.7750000000000001,0.5636363636363637,0.2727272727272727,0.7333333333333334,0.5,0.4666666666666667,0.75,0.6190476190476191,0.6190476190476191,0.574390331890332,0.15015822024177092,181
8,0.0010568857192993163,0.0001914113817300418,0.11464900970458984,0.0012535036580496562,auto,1,-1,10,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 10, 'weights': 'uniform'}",0.4444444444444444,0.7777777777777778,0.625,0.75,0.875,0.5,0.5,0.625,0.375,0.5,0.5972222222222222,0.15353348450483867,171,0.41666666666666663,0.8571428571428572,0.6333333333333333,0.8333333333333333,0.9,0.5,0.5,0.6333333333333333,0.3666666666666667,0.5,0.6140476190476191,0.18134809488735848,171,0.425,0.75,0.625,0.75,0.875,0.5,0.5,0.625,0.375,0.5,0.5925,0.1525,191,0.4155844155844156,0.75,0.6190476190476191,0.7333333333333334,0.873015873015873,0.4666666666666667,0.4666666666666667,0.6190476190476191,0.3650793650793651,0.4666666666666667,0.5775108225108226,0.15906400694624642,171
9,0.001041078567504883,0.00023686316958019494,0.1170757532119751,0.003841035735952264,auto,1,-1,10,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 10, 'weights': 'distance'}",0.5555555555555556,0.7777777777777778,0.625,0.625,0.875,0.5,0.5,0.625,0.5,0.75,0.6333333333333334,0.12347839317162705,121,0.55,0.8571428571428572,0.6333333333333333,0.6333333333333333,0.9,0.5,0.5,0.6333333333333333,0.5,0.75,0.6457142857142857,0.13912505997456093,131,0.55,0.75,0.625,0.625,0.875,0.5,0.5,0.625,0.5,0.75,0.63,0.12083045973594571,121,0.55,0.75,0.6190476190476191,0.6190476190476191,0.873015873015873,0.5,0.4666666666666667,0.6190476190476191,0.5,0.75,0.6246825396825397,0.12442331068523506,121
