id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,param_probability,param_random_state,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.005798840522766113,0.0042444763090157085,0.009941625595092773,0.006537256047732495,0.01,0,2,scale,linear,True,707878,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 707878}",0.4444444444444444,0.4444444444444444,0.625,0.75,0.875,0.5,0.625,0.75,0.375,0.875,0.6263888888888889,0.17307695605148996,370,0.2222222222222222,0.2222222222222222,0.6333333333333333,0.75,0.9,0.5,0.6333333333333333,0.75,0.21428571428571427,0.9,0.5725396825396826,0.25766046278805016,394,0.5,0.5,0.625,0.75,0.875,0.5,0.625,0.75,0.375,0.875,0.6375,0.1625,369,0.30769230769230765,0.30769230769230765,0.6190476190476191,0.75,0.873015873015873,0.4666666666666667,0.6190476190476191,0.75,0.2727272727272727,0.873015873015873,0.5838905538905539,0.22090237767830326,381
1,0.002278637886047363,0.00030980444565498243,0.0036670923233032226,0.000525141483775909,0.01,0,2,scale,poly,True,707878,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly', 'probability': True, 'random_state': 707878}",0.4444444444444444,0.4444444444444444,0.5,0.5,0.625,0.5,0.625,0.625,0.5,0.5,0.5263888888888889,0.06788527449916633,710,0.2222222222222222,0.2222222222222222,0.5,0.25,0.7857142857142857,0.25,0.7857142857142857,0.7857142857142857,0.5,0.25,0.45515873015873015,0.23803603761368125,698,0.5,0.5,0.5,0.5,0.625,0.5,0.625,0.625,0.5,0.5,0.5375,0.057282196186948006,709,0.30769230769230765,0.30769230769230765,0.4666666666666667,0.3333333333333333,0.5636363636363637,0.3333333333333333,0.5636363636363637,0.5636363636363637,0.4666666666666667,0.3333333333333333,0.42396270396270397,0.10670150375740743,710
2,0.0031847476959228514,0.00037247599491259647,0.0035071611404418946,0.00024080050934783303,0.01,0,2,scale,rbf,True,707878,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 707878}",0.4444444444444444,0.4444444444444444,0.5,0.5,0.75,0.5,0.625,0.75,0.375,0.5,0.538888888888889,0.12136695708307486,697,0.2222222222222222,0.2222222222222222,0.5,0.25,0.8333333333333333,0.25,0.6333333333333333,0.8333333333333333,0.3666666666666667,0.25,0.43611111111111106,0.23638546152365858,745,0.5,0.5,0.5,0.5,0.75,0.5,0.625,0.75,0.375,0.5,0.55,0.11456439237389601,692,0.30769230769230765,0.30769230769230765,0.4666666666666667,0.3333333333333333,0.7333333333333334,0.3333333333333333,0.6190476190476191,0.7333333333333334,0.3650793650793651,0.3333333333333333,0.4532844932844933,0.16668843931904284,691
3,0.003998589515686035,0.0006695982805875872,0.003565335273742676,0.0006794731777225525,0.01,0,2,scale,sigmoid,True,707878,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid', 'probability': True, 'random_state': 707878}",0.4444444444444444,0.4444444444444444,0.625,0.125,0.375,0.375,0.5,0.375,0.5,0.5,0.42638888888888893,0.12454392105440128,871,0.2222222222222222,0.2222222222222222,0.6333333333333333,0.1,0.21428571428571427,0.21428571428571427,0.25,0.21428571428571427,0.25,0.5,0.282063492063492,0.15067631190740513,885,0.5,0.5,0.625,0.125,0.375,0.375,0.5,0.375,0.5,0.5,0.4375,0.128086884574495,871,0.30769230769230765,0.30769230769230765,0.6190476190476191,0.11111111111111112,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.2727272727272727,0.3333333333333333,0.4666666666666667,0.3297058497058497,0.1268841080088883,867
4,0.0020803213119506836,0.0002912010257398142,0.0034158706665039064,0.00038703941004100044,0.01,0,2,auto,linear,True,707878,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 707878}",0.4444444444444444,0.4444444444444444,0.625,0.75,0.875,0.5,0.625,0.75,0.375,0.875,0.6263888888888889,0.17307695605148996,370,0.2222222222222222,0.2222222222222222,0.6333333333333333,0.75,0.9,0.5,0.6333333333333333,0.75,0.21428571428571427,0.9,0.5725396825396826,0.25766046278805016,394,0.5,0.5,0.625,0.75,0.875,0.5,0.625,0.75,0.375,0.875,0.6375,0.1625,369,0.30769230769230765,0.30769230769230765,0.6190476190476191,0.75,0.873015873015873,0.4666666666666667,0.6190476190476191,0.75,0.2727272727272727,0.873015873015873,0.5838905538905539,0.22090237767830326,381
5,0.0020811080932617186,4.975217087332418e-05,0.003300023078918457,6.921690483555849e-05,0.01,0,2,auto,poly,True,707878,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly', 'probability': True, 'random_state': 707878}",0.4444444444444444,0.4444444444444444,0.5,0.5,0.625,0.5,0.625,0.625,0.5,0.5,0.5263888888888889,0.06788527449916633,710,0.2222222222222222,0.2222222222222222,0.5,0.25,0.7857142857142857,0.25,0.7857142857142857,0.7857142857142857,0.5,0.25,0.45515873015873015,0.23803603761368125,698,0.5,0.5,0.5,0.5,0.625,0.5,0.625,0.625,0.5,0.5,0.5375,0.057282196186948006,709,0.30769230769230765,0.30769230769230765,0.4666666666666667,0.3333333333333333,0.5636363636363637,0.3333333333333333,0.5636363636363637,0.5636363636363637,0.4666666666666667,0.3333333333333333,0.42396270396270397,0.10670150375740743,710
6,0.0028281927108764647,0.0001998014850102313,0.0034725189208984373,0.0005324654901731751,0.01,0,2,auto,rbf,True,707878,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 707878}",0.4444444444444444,0.4444444444444444,0.625,0.75,0.875,0.5,0.625,0.75,0.375,0.875,0.6263888888888889,0.17307695605148996,370,0.2222222222222222,0.2222222222222222,0.6333333333333333,0.75,0.9,0.5,0.6333333333333333,0.75,0.21428571428571427,0.9,0.5725396825396826,0.25766046278805016,394,0.5,0.5,0.625,0.75,0.875,0.5,0.625,0.75,0.375,0.875,0.6375,0.1625,369,0.30769230769230765,0.30769230769230765,0.6190476190476191,0.75,0.873015873015873,0.4666666666666667,0.6190476190476191,0.75,0.2727272727272727,0.873015873015873,0.5838905538905539,0.22090237767830326,381
7,0.003142976760864258,0.0004713673654705409,0.003779888153076172,0.0006605796757350292,0.01,0,2,auto,sigmoid,True,707878,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid', 'probability': True, 'random_state': 707878}",0.4444444444444444,0.4444444444444444,0.625,0.75,0.875,0.5,0.625,0.75,0.375,0.875,0.6263888888888889,0.17307695605148996,370,0.2222222222222222,0.2222222222222222,0.6333333333333333,0.75,0.9,0.5,0.6333333333333333,0.75,0.21428571428571427,0.9,0.5725396825396826,0.25766046278805016,394,0.5,0.5,0.625,0.75,0.875,0.5,0.625,0.75,0.375,0.875,0.6375,0.1625,369,0.30769230769230765,0.30769230769230765,0.6190476190476191,0.75,0.873015873015873,0.4666666666666667,0.6190476190476191,0.75,0.2727272727272727,0.873015873015873,0.5838905538905539,0.22090237767830326,381
8,0.002355527877807617,0.0008061140309342666,0.0037593841552734375,0.0010285917384215413,0.01,0,2,1e-05,linear,True,707878,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 1e-05, 'kernel': 'linear', 'probability': True, 'random_state': 707878}",0.4444444444444444,0.4444444444444444,0.625,0.75,0.875,0.5,0.625,0.75,0.375,0.875,0.6263888888888889,0.17307695605148996,370,0.2222222222222222,0.2222222222222222,0.6333333333333333,0.75,0.9,0.5,0.6333333333333333,0.75,0.21428571428571427,0.9,0.5725396825396826,0.25766046278805016,394,0.5,0.5,0.625,0.75,0.875,0.5,0.625,0.75,0.375,0.875,0.6375,0.1625,369,0.30769230769230765,0.30769230769230765,0.6190476190476191,0.75,0.873015873015873,0.4666666666666667,0.6190476190476191,0.75,0.2727272727272727,0.873015873015873,0.5838905538905539,0.22090237767830326,381
9,0.002337145805358887,0.00048756945744056316,0.003983092308044433,0.0008633501582560575,0.01,0,2,1e-05,poly,True,707878,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 1e-05, 'kernel': 'poly', 'probability': True, 'random_state': 707878}",0.4444444444444444,0.4444444444444444,0.5,0.5,0.625,0.5,0.625,0.625,0.5,0.5,0.5263888888888889,0.06788527449916633,710,0.2222222222222222,0.2222222222222222,0.5,0.25,0.7857142857142857,0.25,0.7857142857142857,0.7857142857142857,0.5,0.25,0.45515873015873015,0.23803603761368125,698,0.5,0.5,0.5,0.5,0.625,0.5,0.625,0.625,0.5,0.5,0.5375,0.057282196186948006,709,0.30769230769230765,0.30769230769230765,0.4666666666666667,0.3333333333333333,0.5636363636363637,0.3333333333333333,0.5636363636363637,0.5636363636363637,0.4666666666666667,0.3333333333333333,0.42396270396270397,0.10670150375740743,710
