id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,hidden_layer_sizes,activation,alpha,solver,learning_rate_init,max_iter,random_state
0,euclidian_px_all,mlpclassifier,FCBF,0.7154545454545456,"(0.6673700190178151, 0.763539071891276)",0.6366666666666666,0.615,0.6147619047619047,"(50,)",identity,0.0001,lbfgs,0.001,300,707878
1,euclidian_px_all,mlpclassifier,FCBF,0.7236363636363636,"(0.6398425242210048, 0.8074302030517224)",0.655,0.615,0.6121428571428572,"(50,)",identity,0.001,lbfgs,0.001,300,707878
2,euclidian_px_all,mlpclassifier,FCBF,0.7245454545454545,"(0.637622358507673, 0.811468550583236)",0.6616666666666667,0.585,0.6095238095238095,"(50,)",identity,0.01,lbfgs,0.001,300,707878
3,euclidian_px_all,mlpclassifier,FCBF,0.6327272727272727,"(0.6009884326374406, 0.6644661128171048)",0.1,0.025,0.04,"(50,)",identity,0.0001,sgd,0.001,300,707878
4,euclidian_px_all,mlpclassifier,FCBF,0.6327272727272727,"(0.6009884326374406, 0.6644661128171048)",0.1,0.025,0.04,"(50,)",identity,0.001,sgd,0.001,300,707878
5,euclidian_px_all,mlpclassifier,FCBF,0.6327272727272727,"(0.6009884326374406, 0.6644661128171048)",0.1,0.025,0.04,"(50,)",identity,0.01,sgd,0.001,300,707878
6,euclidian_px_all,mlpclassifier,FCBF,0.6054545454545454,"(0.524338884413562, 0.6865702064955287)",0.47714285714285715,0.465,0.4608225108225109,"(50,)",logistic,0.0001,lbfgs,0.001,300,707878
7,euclidian_px_all,mlpclassifier,FCBF,0.650909090909091,"(0.589969136286352, 0.71184904553183)",0.4916666666666666,0.465,0.4643650793650793,"(50,)",logistic,0.001,lbfgs,0.001,300,707878
8,euclidian_px_all,mlpclassifier,FCBF,0.7345454545454546,"(0.657676685747399, 0.8114142233435102)",0.677142857142857,0.64,0.6362193362193361,"(50,)",logistic,0.01,lbfgs,0.001,300,707878
9,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",logistic,0.0001,sgd,0.001,300,707878
10,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",logistic,0.001,sgd,0.001,300,707878
11,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",logistic,0.01,sgd,0.001,300,707878
12,euclidian_px_all,mlpclassifier,FCBF,0.6527272727272727,"(0.5535943347847101, 0.7518602106698353)",0.5228571428571429,0.515,0.5077200577200577,"(50,)",tanh,0.0001,lbfgs,0.001,300,707878
13,euclidian_px_all,mlpclassifier,FCBF,0.7345454545454546,"(0.6517897690350468, 0.8173011400558624)",0.6583333333333333,0.615,0.6264285714285714,"(50,)",tanh,0.001,lbfgs,0.001,300,707878
14,euclidian_px_all,mlpclassifier,FCBF,0.6881818181818182,"(0.6340309090909091, 0.7423327272727274)",0.6283333333333334,0.515,0.5403968253968253,"(50,)",tanh,0.01,lbfgs,0.001,300,707878
15,euclidian_px_all,mlpclassifier,FCBF,0.6509090909090909,"(0.5982404835451887, 0.7035776982729931)",0.2,0.075,0.10666666666666666,"(50,)",tanh,0.0001,sgd,0.001,300,707878
16,euclidian_px_all,mlpclassifier,FCBF,0.6509090909090909,"(0.5982404835451887, 0.7035776982729931)",0.2,0.075,0.10666666666666666,"(50,)",tanh,0.001,sgd,0.001,300,707878
17,euclidian_px_all,mlpclassifier,FCBF,0.6509090909090909,"(0.5982404835451887, 0.7035776982729931)",0.2,0.075,0.10666666666666666,"(50,)",tanh,0.01,sgd,0.001,300,707878
18,euclidian_px_all,mlpclassifier,FCBF,0.7236363636363636,"(0.6456510338864783, 0.801621693386249)",0.7,0.5900000000000001,0.6044444444444445,"(50,)",relu,0.0001,lbfgs,0.001,300,707878
19,euclidian_px_all,mlpclassifier,FCBF,0.7227272727272728,"(0.6160405059829989, 0.8294140394715467)",0.69,0.615,0.6107936507936508,"(50,)",relu,0.001,lbfgs,0.001,300,707878
20,euclidian_px_all,mlpclassifier,FCBF,0.6881818181818182,"(0.6435429888109296, 0.7328206475527068)",0.5933333333333334,0.61,0.5759523809523809,"(50,)",relu,0.01,lbfgs,0.001,300,707878
21,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",relu,0.0001,sgd,0.001,300,707878
22,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",relu,0.001,sgd,0.001,300,707878
23,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",relu,0.01,sgd,0.001,300,707878
24,euclidian_px_all,mlpclassifier,FCBF,0.7145454545454545,"(0.6341278758578102, 0.7949630332330988)",0.6883333333333334,0.5900000000000001,0.5988095238095238,"(50, 50, 50)",identity,0.0001,lbfgs,0.001,300,707878
25,euclidian_px_all,mlpclassifier,FCBF,0.7327272727272727,"(0.6518436363636363, 0.813610909090909)",0.6,0.635,0.6096031746031745,"(50, 50, 50)",identity,0.001,lbfgs,0.001,300,707878
26,euclidian_px_all,mlpclassifier,FCBF,0.760909090909091,"(0.683598447612439, 0.8382197342057429)",0.6516666666666666,0.64,0.6237301587301587,"(50, 50, 50)",identity,0.01,lbfgs,0.001,300,707878
27,euclidian_px_all,mlpclassifier,FCBF,0.7790909090909091,"(0.7146399542223342, 0.8435418639594839)",0.8416666666666666,0.54,0.6411904761904762,"(50, 50, 50)",identity,0.0001,sgd,0.001,300,707878
28,euclidian_px_all,mlpclassifier,FCBF,0.7790909090909091,"(0.7146399542223342, 0.8435418639594839)",0.8416666666666666,0.54,0.6411904761904762,"(50, 50, 50)",identity,0.001,sgd,0.001,300,707878
29,euclidian_px_all,mlpclassifier,FCBF,0.7790909090909091,"(0.7146399542223342, 0.8435418639594839)",0.8416666666666666,0.54,0.6411904761904762,"(50, 50, 50)",identity,0.01,sgd,0.001,300,707878
30,euclidian_px_all,mlpclassifier,FCBF,0.6418181818181818,"(0.5421935475384421, 0.7414428160979216)",0.4216666666666667,0.41,0.38375901875901874,"(50, 50, 50)",logistic,0.0001,lbfgs,0.001,300,707878
31,euclidian_px_all,mlpclassifier,FCBF,0.6872727272727273,"(0.6090467757546467, 0.7654986787908078)",0.5466666666666666,0.49000000000000005,0.4766666666666667,"(50, 50, 50)",logistic,0.001,lbfgs,0.001,300,707878
32,euclidian_px_all,mlpclassifier,FCBF,0.7145454545454546,"(0.6401997008387709, 0.7888912082521383)",0.6649999999999999,0.5900000000000001,0.5964285714285715,"(50, 50, 50)",logistic,0.01,lbfgs,0.001,300,707878
33,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50, 50, 50)",logistic,0.0001,sgd,0.001,300,707878
34,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50, 50, 50)",logistic,0.001,sgd,0.001,300,707878
35,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50, 50, 50)",logistic,0.01,sgd,0.001,300,707878
36,euclidian_px_all,mlpclassifier,FCBF,0.7145454545454546,"(0.6401997008387709, 0.7888912082521383)",0.6466666666666667,0.615,0.5826984126984127,"(50, 50, 50)",tanh,0.0001,lbfgs,0.001,300,707878
37,euclidian_px_all,mlpclassifier,FCBF,0.6872727272727273,"(0.6221581532099885, 0.752387301335466)",0.5433333333333333,0.5900000000000001,0.550952380952381,"(50, 50, 50)",tanh,0.001,lbfgs,0.001,300,707878
38,euclidian_px_all,mlpclassifier,FCBF,0.6518181818181817,"(0.5673068900106653, 0.7363294736256982)",0.5695238095238095,0.54,0.5335930735930735,"(50, 50, 50)",tanh,0.01,lbfgs,0.001,300,707878
39,euclidian_px_all,mlpclassifier,FCBF,0.7054545454545454,"(0.6356054155712423, 0.7753036753378486)",0.6583333333333333,0.395,0.4745238095238096,"(50, 50, 50)",tanh,0.0001,sgd,0.001,300,707878
40,euclidian_px_all,mlpclassifier,FCBF,0.7054545454545454,"(0.6356054155712423, 0.7753036753378486)",0.6583333333333333,0.395,0.4745238095238096,"(50, 50, 50)",tanh,0.001,sgd,0.001,300,707878
41,euclidian_px_all,mlpclassifier,FCBF,0.7054545454545454,"(0.6356054155712423, 0.7753036753378486)",0.6583333333333333,0.395,0.4745238095238096,"(50, 50, 50)",tanh,0.01,sgd,0.001,300,707878
42,euclidian_px_all,mlpclassifier,FCBF,0.7418181818181818,"(0.6709009604661187, 0.812735403170245)",0.7488095238095238,0.615,0.6134415584415585,"(50, 50, 50)",relu,0.0001,lbfgs,0.001,300,707878
