id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,hidden_layer_sizes,activation,alpha,solver,learning_rate_init,max_iter,random_state
0,euclidian_px_all,mlpclassifier,RFS,0.7063636363636364,"(0.6208574746021963, 0.7918697981250765)",0.6383333333333333,0.5599999999999999,0.5771645021645021,"(50,)",identity,0.0001,lbfgs,0.001,300,707878
1,euclidian_px_all,mlpclassifier,RFS,0.7145454545454545,"(0.6045219926448442, 0.8245689164460648)",0.6983333333333334,0.5349999999999999,0.5753174603174603,"(50,)",identity,0.001,lbfgs,0.001,300,707878
2,euclidian_px_all,mlpclassifier,RFS,0.7236363636363636,"(0.6398425242210048, 0.8074302030517224)",0.6533333333333333,0.61,0.6054761904761905,"(50,)",identity,0.01,lbfgs,0.001,300,707878
3,euclidian_px_all,mlpclassifier,RFS,0.6418181818181818,"(0.5839632193603966, 0.699673144275967)",0.3,0.075,0.12000000000000002,"(50,)",identity,0.0001,sgd,0.001,300,707878
4,euclidian_px_all,mlpclassifier,RFS,0.6418181818181818,"(0.5839632193603966, 0.699673144275967)",0.3,0.075,0.12000000000000002,"(50,)",identity,0.001,sgd,0.001,300,707878
5,euclidian_px_all,mlpclassifier,RFS,0.6418181818181818,"(0.5839632193603966, 0.699673144275967)",0.3,0.075,0.12000000000000002,"(50,)",identity,0.01,sgd,0.001,300,707878
6,euclidian_px_all,mlpclassifier,RFS,0.6963636363636364,"(0.6488541691557191, 0.7438731035715537)",0.635,0.51,0.5547619047619048,"(50,)",logistic,0.0001,lbfgs,0.001,300,707878
7,euclidian_px_all,mlpclassifier,RFS,0.6963636363636364,"(0.6320476880310699, 0.7606795846962029)",0.615,0.585,0.5873809523809523,"(50,)",logistic,0.001,lbfgs,0.001,300,707878
8,euclidian_px_all,mlpclassifier,RFS,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.6933333333333332,0.615,0.638888888888889,"(50,)",logistic,0.01,lbfgs,0.001,300,707878
9,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",logistic,0.0001,sgd,0.001,300,707878
10,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",logistic,0.001,sgd,0.001,300,707878
11,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",logistic,0.01,sgd,0.001,300,707878
12,euclidian_px_all,mlpclassifier,RFS,0.7054545454545454,"(0.6356054155712423, 0.7753036753378486)",0.625,0.54,0.5742063492063492,"(50,)",tanh,0.0001,lbfgs,0.001,300,707878
13,euclidian_px_all,mlpclassifier,RFS,0.6781818181818182,"(0.6061471002895533, 0.7502165360740831)",0.5616666666666668,0.465,0.49325396825396817,"(50,)",tanh,0.001,lbfgs,0.001,300,707878
14,euclidian_px_all,mlpclassifier,RFS,0.7518181818181818,"(0.6589371939140387, 0.844699169722325)",0.7104761904761905,0.665,0.6671717171717171,"(50,)",tanh,0.01,lbfgs,0.001,300,707878
15,euclidian_px_all,mlpclassifier,RFS,0.6509090909090909,"(0.5982404835451887, 0.7035776982729931)",0.2,0.075,0.10666666666666666,"(50,)",tanh,0.0001,sgd,0.001,300,707878
16,euclidian_px_all,mlpclassifier,RFS,0.6509090909090909,"(0.5982404835451887, 0.7035776982729931)",0.2,0.075,0.10666666666666666,"(50,)",tanh,0.001,sgd,0.001,300,707878
17,euclidian_px_all,mlpclassifier,RFS,0.6509090909090909,"(0.5982404835451887, 0.7035776982729931)",0.2,0.075,0.10666666666666666,"(50,)",tanh,0.01,sgd,0.001,300,707878
18,euclidian_px_all,mlpclassifier,RFS,0.7245454545454545,"(0.6557229508022194, 0.7933679582886896)",0.6833333333333333,0.5599999999999999,0.5920634920634921,"(50,)",relu,0.0001,lbfgs,0.001,300,707878
19,euclidian_px_all,mlpclassifier,RFS,0.7427272727272728,"(0.6682646950941517, 0.8171898503603939)",0.665,0.58,0.6009018759018759,"(50,)",relu,0.001,lbfgs,0.001,300,707878
20,euclidian_px_all,mlpclassifier,RFS,0.77,"(0.6922046837119121, 0.8477953162880879)",0.7783333333333333,0.64,0.6754761904761903,"(50,)",relu,0.01,lbfgs,0.001,300,707878
21,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",relu,0.0001,sgd,0.001,300,707878
22,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",relu,0.001,sgd,0.001,300,707878
23,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",relu,0.01,sgd,0.001,300,707878
24,euclidian_px_all,mlpclassifier,RFS,0.740909090909091,"(0.6722780080297565, 0.8095401737884255)",0.7499999999999999,0.5349999999999999,0.5950000000000001,"(50, 50, 50)",identity,0.0001,lbfgs,0.001,300,707878
