id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,hidden_layer_sizes,activation,alpha,solver,learning_rate_init,max_iter,random_state
0,euclidian_px_all,mlpclassifier,ReliefF,0.6772727272727274,"(0.5662692945955543, 0.7882761599499004)",0.5883333333333334,0.665,0.6005266955266955,"(50,)",identity,0.0001,lbfgs,0.001,300,707878
1,euclidian_px_all,mlpclassifier,ReliefF,0.7063636363636364,"(0.6104955215667408, 0.802231751160532)",0.5971428571428571,0.6900000000000001,0.6270129870129871,"(50,)",identity,0.001,lbfgs,0.001,300,707878
2,euclidian_px_all,mlpclassifier,ReliefF,0.7236363636363636,"(0.6519285133797164, 0.7953442138930109)",0.6166666666666666,0.7849999999999999,0.6765079365079365,"(50,)",identity,0.01,lbfgs,0.001,300,707878
3,euclidian_px_all,mlpclassifier,ReliefF,0.569090909090909,"(0.5090050411686851, 0.6291767770131329)",0.4724206349206349,0.93,0.61996336996337,"(50,)",identity,0.0001,sgd,0.001,300,707878
4,euclidian_px_all,mlpclassifier,ReliefF,0.569090909090909,"(0.5090050411686851, 0.6291767770131329)",0.4724206349206349,0.93,0.61996336996337,"(50,)",identity,0.001,sgd,0.001,300,707878
5,euclidian_px_all,mlpclassifier,ReliefF,0.569090909090909,"(0.5090050411686851, 0.6291767770131329)",0.4724206349206349,0.93,0.61996336996337,"(50,)",identity,0.01,sgd,0.001,300,707878
6,euclidian_px_all,mlpclassifier,ReliefF,0.7881818181818182,"(0.7053551939439282, 0.8710084424197082)",0.7221428571428572,0.76,0.7249494949494949,"(50,)",logistic,0.0001,lbfgs,0.001,300,707878
7,euclidian_px_all,mlpclassifier,ReliefF,0.7054545454545454,"(0.6029017485542848, 0.8080073423548061)",0.6083333333333333,0.74,0.6496031746031745,"(50,)",logistic,0.001,lbfgs,0.001,300,707878
8,euclidian_px_all,mlpclassifier,ReliefF,0.6972727272727274,"(0.6105661139719956, 0.7839793405734592)",0.5766666666666667,0.7150000000000001,0.6228571428571428,"(50,)",logistic,0.01,lbfgs,0.001,300,707878
9,euclidian_px_all,mlpclassifier,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",logistic,0.0001,sgd,0.001,300,707878
10,euclidian_px_all,mlpclassifier,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",logistic,0.001,sgd,0.001,300,707878
11,euclidian_px_all,mlpclassifier,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50,)",logistic,0.01,sgd,0.001,300,707878
12,euclidian_px_all,mlpclassifier,ReliefF,0.7236363636363636,"(0.619808665043737, 0.8274640622289903)",0.6295238095238095,0.755,0.6732756132756132,"(50,)",tanh,0.0001,lbfgs,0.001,300,707878
13,euclidian_px_all,mlpclassifier,ReliefF,0.7709090909090909,"(0.6947773359549543, 0.8470408458632275)",0.68,0.7849999999999999,0.7062698412698412,"(50,)",tanh,0.001,lbfgs,0.001,300,707878
14,euclidian_px_all,mlpclassifier,ReliefF,0.7172727272727274,"(0.6347643839730974, 0.7997810705723574)",0.5966666666666667,0.71,0.6338095238095238,"(50,)",tanh,0.01,lbfgs,0.001,300,707878
15,euclidian_px_all,mlpclassifier,ReliefF,0.46818181818181814,"(0.41959184115189363, 0.5167717952117427)",0.4135606060606061,0.9550000000000001,0.5742490842490842,"(50,)",tanh,0.0001,sgd,0.001,300,707878
16,euclidian_px_all,mlpclassifier,ReliefF,0.46818181818181814,"(0.41959184115189363, 0.5167717952117427)",0.4135606060606061,0.9550000000000001,0.5742490842490842,"(50,)",tanh,0.001,sgd,0.001,300,707878
17,euclidian_px_all,mlpclassifier,ReliefF,0.46818181818181814,"(0.41959184115189363, 0.5167717952117427)",0.4135606060606061,0.9550000000000001,0.5742490842490842,"(50,)",tanh,0.01,sgd,0.001,300,707878
18,euclidian_px_all,mlpclassifier,ReliefF,0.7618181818181818,"(0.6861196653092508, 0.8375166983271128)",0.6683333333333333,0.755,0.6986796536796536,"(50,)",relu,0.0001,lbfgs,0.001,300,707878
19,euclidian_px_all,mlpclassifier,ReliefF,0.7254545454545455,"(0.6655566421261275, 0.7853524487829634)",0.645952380952381,0.705,0.632070707070707,"(50,)",relu,0.001,lbfgs,0.001,300,707878
20,euclidian_px_all,mlpclassifier,ReliefF,0.7054545454545453,"(0.6029017485542847, 0.808007342354806)",0.6477777777777778,0.755,0.6643956043956043,"(50,)",relu,0.01,lbfgs,0.001,300,707878
21,euclidian_px_all,mlpclassifier,ReliefF,0.43090909090909096,"(0.37923109117808024, 0.4825870906401017)",0.3968686868686869,0.975,0.5629304029304029,"(50,)",relu,0.0001,sgd,0.001,300,707878
22,euclidian_px_all,mlpclassifier,ReliefF,0.43090909090909096,"(0.37923109117808024, 0.4825870906401017)",0.3968686868686869,0.975,0.5629304029304029,"(50,)",relu,0.001,sgd,0.001,300,707878
