id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,n_estimators,criterion,max_depth,min_samples_leaf,max_features,bootstrap,n_jobs,random_state,class_weight
0,euclidian_px_all,randomforestclassifier,None,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.6888095238095239,0.615,0.63502886002886,500,gini,,1,22,True,-1,707878,
1,euclidian_px_all,randomforestclassifier,None,0.7427272727272727,"(0.6622016784386417, 0.8232528670159036)",0.7054761904761905,0.615,0.6421717171717172,500,gini,,2,22,True,-1,707878,
2,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.6341278758578102, 0.7949630332330988)",0.6721428571428572,0.5650000000000001,0.5921717171717172,500,gini,,5,22,True,-1,707878,
3,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6888095238095239,0.5900000000000001,0.6159812409812411,500,gini,,10,22,True,-1,707878,
4,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,500,gini,,15,22,True,-1,707878,
5,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,500,gini,,20,22,True,-1,707878,
6,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6398425242210048, 0.8074302030517224)",0.675,0.5900000000000001,0.6207142857142858,500,gini,,1,26,True,-1,707878,
7,euclidian_px_all,randomforestclassifier,None,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.6983333333333334,0.5900000000000001,0.6294444444444445,500,gini,,2,26,True,-1,707878,
8,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6456510338864783, 0.801621693386249)",0.6888095238095238,0.5650000000000001,0.5993145743145744,500,gini,,5,26,True,-1,707878,
9,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,500,gini,,10,26,True,-1,707878,
10,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.6317252135481723, 0.7991838773609188)",0.675,0.595,0.6051587301587301,500,gini,,15,26,True,-1,707878,
11,euclidian_px_all,randomforestclassifier,None,0.7254545454545455,"(0.6397425725790197, 0.8111665183300713)",0.7083333333333334,0.595,0.6146825396825397,500,gini,,20,26,True,-1,707878,
12,euclidian_px_all,randomforestclassifier,None,0.7436363636363637,"(0.6588059978740265, 0.8284667293987008)",0.7066666666666667,0.64,0.653968253968254,500,gini,,1,30,True,-1,707878,
13,euclidian_px_all,randomforestclassifier,None,0.7618181818181818,"(0.6801483509782598, 0.8434880126581039)",0.7221428571428572,0.665,0.6778860028860029,500,gini,,2,30,True,-1,707878,
14,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6721428571428572,0.5650000000000001,0.5945526695526696,500,gini,,5,30,True,-1,707878,
15,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6888095238095239,0.5900000000000001,0.6159812409812411,500,gini,,10,30,True,-1,707878,
16,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.6317252135481723, 0.7991838773609188)",0.675,0.595,0.6051587301587301,500,gini,,15,30,True,-1,707878,
17,euclidian_px_all,randomforestclassifier,None,0.7254545454545455,"(0.6397425725790197, 0.8111665183300713)",0.7083333333333334,0.595,0.6146825396825397,500,gini,,20,30,True,-1,707878,
18,euclidian_px_all,randomforestclassifier,None,0.7518181818181818,"(0.6891412436733856, 0.8144951199629781)",0.7171428571428571,0.64,0.656060606060606,500,gini,,1,34,True,-1,707878,
19,euclidian_px_all,randomforestclassifier,None,0.7618181818181818,"(0.6801483509782598, 0.8434880126581039)",0.7221428571428572,0.665,0.6778860028860029,500,gini,,2,34,True,-1,707878,
20,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6888095238095239,0.5650000000000001,0.5993145743145742,500,gini,,5,34,True,-1,707878,
21,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6888095238095239,0.5900000000000001,0.6159812409812411,500,gini,,10,34,True,-1,707878,
22,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,500,gini,,15,34,True,-1,707878,
23,euclidian_px_all,randomforestclassifier,None,0.7254545454545455,"(0.6397425725790197, 0.8111665183300713)",0.7083333333333334,0.595,0.6146825396825397,500,gini,,20,34,True,-1,707878,
24,euclidian_px_all,randomforestclassifier,None,0.7618181818181818,"(0.686119665309251, 0.8375166983271127)",0.725,0.665,0.6773809523809524,500,gini,,1,38,True,-1,707878,
25,euclidian_px_all,randomforestclassifier,None,0.7527272727272727,"(0.666414418298344, 0.8390401271562014)",0.7054761904761906,0.665,0.6707431457431458,500,gini,,2,38,True,-1,707878,
26,euclidian_px_all,randomforestclassifier,None,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.6888095238095239,0.5900000000000001,0.6183621933621934,500,gini,,5,38,True,-1,707878,
27,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.6721428571428573,0.5650000000000001,0.5921717171717171,500,gini,,10,38,True,-1,707878,
28,euclidian_px_all,randomforestclassifier,None,0.7336363636363636,"(0.6616114301895597, 0.8056612970831676)",0.6988095238095238,0.615,0.6326479076479077,500,gini,,15,38,True,-1,707878,
29,euclidian_px_all,randomforestclassifier,None,0.7163636363636363,"(0.6283260789386635, 0.8044011937886091)",0.6916666666666667,0.5700000000000001,0.5908730158730159,500,gini,,20,38,True,-1,707878,
